year,type,value
2560,dept,8475511207
2560,profit,345824358
2560,inventorie,2712855927
2560,trade_payable,3754638426
2561,dept,10194933998
2561,profit,462964652
2561,inventorie,3358723004
2561,trade_payable,4395109903
2561,perincome,16.1
2562,dept,8759346191
2562,profit,479351199
2562,inventorie,3671416870
2562,trade_payable,2707304287
2563,dept,20846737311
2563,profit,1321191632
2563,inventorie,4553328882
2563,trade_payable,8552379294
2564,dept,33778319949
2564,profit,1570309542
2564,inventorie,5701890496
2564,trade_payable,23441884288
2562,perincome,32.33
2563,perincome,-2.77
2564,perincome,49.87
2565,perincome,80.48
