Month,Year,Day,Date,Open,High,Low,Close,Adj Close,Volume,Growth
5,2562,2,2/5/2019,4.141295,4.489628,4.063888,4.450925,4.450925,419804,7.48%
5,2562,3,3/5/2019,4.334814,4.412221,3.77361,3.870369,3.870369,753778,-10.71%
5,2562,7,7/5/2019,3.870369,3.947777,3.792962,3.870369,3.870369,267416,0.00%
5,2562,8,8/5/2019,3.870369,4.489628,3.831666,4.29611,4.29611,877125,11.00%
5,2562,9,9/5/2019,4.179999,4.489628,4.179999,4.257406,4.257406,204889,1.85%
5,2562,10,10/5/2019,4.29611,4.334814,3.77361,3.792962,3.792962,1022331,-11.71%
5,2562,13,13/5/2019,3.870369,3.870369,2.902777,3.154351,3.154351,2251722,-18.50%
5,2562,14,14/5/2019,3.193055,3.193055,3.018888,3.193055,3.193055,292323,0.00%
5,2562,15,15/5/2019,3.173703,3.193055,2.902777,3.134999,3.134999,598134,-1.22%
5,2562,16,16/5/2019,3.115647,3.154351,2.960832,3.115647,3.115647,172748,0.00%
5,2562,17,17/5/2019,3.115647,3.309166,3.096295,3.231758,3.231758,385751,3.73%
5,2562,21,21/5/2019,3.231758,3.25111,3.173703,3.231758,3.231758,218945,0.00%
5,2562,22,22/5/2019,3.231758,3.231758,3.076943,3.154351,3.154351,488015,-2.40%
5,2562,23,23/5/2019,3.154351,3.173703,3.057592,3.115647,3.115647,223802,-1.23%
5,2562,24,24/5/2019,3.115647,3.231758,3.03824,3.173703,3.173703,297077,1.86%
5,2562,27,27/5/2019,3.231758,3.289814,3.193055,3.270462,3.270462,230778,1.20%
5,2562,28,28/5/2019,3.270462,3.270462,3.173703,3.25111,3.25111,193883,-0.59%
5,2562,29,29/5/2019,3.25111,3.25111,3.173703,3.25111,3.25111,243129,0.00%
5,2562,30,30/5/2019,3.25111,3.270462,3.193055,3.25111,3.25111,32761,0.00%
5,2562,31,31/5/2019,3.25111,3.25111,3.134999,3.25111,3.25111,293046,0.00%
6,2562,4,4/6/2019,3.193055,3.193055,3.057592,3.154351,3.154351,261163,-1.21%
6,2562,5,5/6/2019,3.173703,3.193055,2.980184,3.057592,3.057592,630844,-3.66%
6,2562,6,6/6/2019,3.096295,3.193055,2.980184,3.03824,3.03824,265556,-1.87%
6,2562,7,7/6/2019,3.096295,3.096295,3.018888,3.057592,3.057592,175073,-1.25%
6,2562,10,10/6/2019,3.076943,3.096295,3.03824,3.076943,3.076943,103555,0.00%
6,2562,11,11/6/2019,3.096295,3.134999,3.057592,3.096295,3.096295,146290,0.00%
6,2562,12,12/6/2019,3.115647,3.154351,3.096295,3.115647,3.115647,84281,0.00%
6,2562,13,13/6/2019,3.115647,3.154351,3.096295,3.154351,3.154351,90378,1.24%
6,2562,14,14/6/2019,3.173703,3.212406,3.154351,3.212406,3.212406,141795,1.22%
6,2562,17,17/6/2019,3.25111,3.347869,3.25111,3.347869,3.347869,352627,2.98%
