type,name,sh
Stark,Vanarat tankkarawakul,26.85
Stark,"CREDIT SUISSE AG, SINGAPORE BRANCH",21.85
Stark,Stark Investment Corporation Limited,21
Stark,Thai NVDR Company Limited,2.55
Stark,"BBL Asset Management Co.,Ltd.",2.32
Stark,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,1.7
Stark,MR. Vonnarat Tangkaravakoon,1.47
Stark,Nattapat Suoanan,1.4
Stark,Naret Ngamapichon,1.29
Stark,Thai Life Insurance Public Co. Ltd,1.08
Stark,Minor shareholder,28.84
TAH,Vanarat tankkarawakul,100
TAH,Suwat Cheangchoti,0
TAH,Apichart tangeakchit,0
ph,Stark Cooeration,99.28
ph,Kritsada Kanjanajaree,0.57
ph,Budsakorn Kanjanajaree,0.07
ph,Parimol Kanjanajaree,0.07
ph,Santipap Sornkup,0
ph,Chalermpan Velavitaya,0
ph,Adisorn Songkhla,0
adpe,Vanarat tankkarawakul,60
adpe,Kritja Keawvimut,37.5
adpe,Prasert Keawvimut,2.5
